Ligand_Name,Binding_Affinity_kcal_mol
mol_266.pdbqt,-9.953
mol_1835.pdbqt,-10.295
mol_1919.pdbqt,-9.727
mol_964.pdbqt,-9.404
mol_1130.pdbqt,-8.898
mol_1477.pdbqt,-9.52
mol_1990.pdbqt,-9.983
mol_275.pdbqt,-9.41
mol_1231.pdbqt,-9.798
mol_161.pdbqt,-10.839
mol_1190.pdbqt,-10.605
mol_1107.pdbqt,-10.268
mol_399.pdbqt,-8.856
mol_356.pdbqt,-9.436
mol_1824.pdbqt,-9.536
mol_340.pdbqt,-8.557
mol_72.pdbqt,-9.156
mol_797.pdbqt,-9.043
mol_1234.pdbqt,-10.558
mol_3.pdbqt,-9.117
mol_529.pdbqt,-9.867
mol_1470.pdbqt,-9.663
mol_918.pdbqt,-10.313
mol_1677.pdbqt,-10.192
mol_1676.pdbqt,-8.805
mol_901.pdbqt,-10.616
mol_843.pdbqt,-9.051
mol_1839.pdbqt,-10.492
mol_135.pdbqt,-9.709
mol_949.pdbqt,-9.456
mol_1778.pdbqt,-10.258
mol_1097.pdbqt,-8.497
mol_1147.pdbqt,-9.492
mol_604.pdbqt,-9.6
mol_1710.pdbqt,-10.11
mol_199.pdbqt,-10.328
mol_1081.pdbqt,-9.862
mol_958.pdbqt,-6.882
mol_1634.pdbqt,-10.541
mol_1417.pdbqt,-9.773
mol_471.pdbqt,-9.424
mol_1554.pdbqt,-10.2
mol_1641.pdbqt,-10.104
mol_542.pdbqt,-8.153
mol_1361.pdbqt,-9.277
mol_1920.pdbqt,-9.449
mol_764.pdbqt,-9.966
mol_1576.pdbqt,-10.577
mol_1791.pdbqt,-11.127
mol_14.pdbqt,-11.297
mol_134.pdbqt,-9.51
mol_153.pdbqt,-9.287
mol_1096.pdbqt,-10.321
mol_1143.pdbqt,-9.334
mol_917.pdbqt,-9.023
mol_101.pdbqt,-8.012
mol_1312.pdbqt,-9.69
mol_895.pdbqt,-9.246
mol_578.pdbqt,-8.602
mol_1743.pdbqt,-9.81
mol_1043.pdbqt,-9.204
mol_704.pdbqt,-8.439
mol_1049.pdbqt,-9.202
mol_1662.pdbqt,-10.021
mol_1032.pdbqt,-9.921
mol_1506.pdbqt,-9.006
mol_1809.pdbqt,-10.51
mol_867.pdbqt,-10.34
mol_1674.pdbqt,-10.268
mol_1770.pdbqt,-9.569
mol_170.pdbqt,-9.126
mol_31.pdbqt,-9.233
mol_404.pdbqt,-9.755
mol_1333.pdbqt,-9.295
mol_1202.pdbqt,-9.894
mol_446.pdbqt,-10.491
mol_1505.pdbqt,-9.082
mol_1440.pdbqt,-9.756
mol_1492.pdbqt,-8.474
mol_296.pdbqt,-9.805
mol_576.pdbqt,-9.928
mol_455.pdbqt,-10.122
mol_1077.pdbqt,-8.996
mol_574.pdbqt,-10.085
mol_555.pdbqt,-8.727
mol_842.pdbqt,-9.539
mol_1290.pdbqt,-10.078
mol_19.pdbqt,-10.114
mol_1432.pdbqt,-9.938
mol_6.pdbqt,-8.85
mol_1098.pdbqt,-9.217
mol_415.pdbqt,-9.319
mol_412.pdbqt,-10.228
mol_589.pdbqt,-9.753
mol_50.pdbqt,-9.954
mol_746.pdbqt,-9.357
mol_876.pdbqt,-6.518
mol_1729.pdbqt,-10.223
mol_1246.pdbqt,-9.258
mol_1448.pdbqt,-9.482
mol_1868.pdbqt,-10.199
mol_207.pdbqt,-9.34
mol_149.pdbqt,-9.406
mol_54.pdbqt,-9.966
mol_479.pdbqt,-9.501
mol_1929.pdbqt,-9.911
mol_1996.pdbqt,-9.394
mol_1829.pdbqt,-9.274
mol_414.pdbqt,-9.972
mol_1637.pdbqt,-10.133
mol_783.pdbqt,-10.436
mol_156.pdbqt,-8.701
mol_221.pdbqt,-9.81
mol_1665.pdbqt,-8.235
mol_1462.pdbqt,-10.285
mol_793.pdbqt,-10.112
mol_79.pdbqt,-8.867
mol_1943.pdbqt,-5.047
mol_658.pdbqt,-9.461
mol_1223.pdbqt,-10.813
mol_428.pdbqt,-5.96
mol_1734.pdbqt,-9.957
mol_1015.pdbqt,-9.814
mol_314.pdbqt,-9.029
mol_66.pdbqt,-8.951
mol_164.pdbqt,-10.854
mol_939.pdbqt,-10.943
mol_1393.pdbqt,-10.189
mol_208.pdbqt,-8.243
mol_848.pdbqt,-10.512
mol_368.pdbqt,-9.785
mol_1408.pdbqt,-9.591
mol_505.pdbqt,-9.465
